brand,model,repair_type,parts_cost,labour_cost,,,,,,
SAMSUNG,SAMSUNG GALAXY S25 ULTRA,BATERIE,250,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S25 ULTRA,CARCASA,300,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S25 ULTRA,MUFA DE INCARCARE,150,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S25 ULTRA,DIFUZOR,150,250,,,,,,
SAMSUNG,SAMSUNG GALAXY A10,DISPLAY,90,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A10,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A10,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A10,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A10,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A11,DISPLAY,110,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A11,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A11,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A11,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A11,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A12,DISPLAY,95,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A12,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A12,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A12,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A12,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A13,DISPLAY,90,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A13,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A13,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A13,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A13,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A14,DISPLAY,110,350,,,,,,
SAMSUNG,SAMSUNG GALAXY A14,BATERIE,150,350,,,,,,
SAMSUNG,SAMSUNG GALAXY A14,CARCASA,200,350,,,,,,
SAMSUNG,SAMSUNG GALAXY A14,MUFA DE INCARCARE,80,350,,,,,,
SAMSUNG,SAMSUNG GALAXY A14,DIFUZOR,80,350,,,,,,
SAMSUNG,SAMSUNG GALAXY A15,DISPLAY,230,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A15,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A15,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A15,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A15,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A16,DISPLAY,250,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A16,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A16,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A16,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A16,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A17,DISPLAY,230,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A17,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A17,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A17,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A17,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A20e,DISPLAY,100,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A20e,BATERIE,120,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A20e,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A20e,MUFA DE INCARCARE,70,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A20e,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A21s,DISPLAY,100,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A21s,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A21s,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A21s,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A21s,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A22 5g,DISPLAY,100,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A22 5g,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A22 5g,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A22 5g,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A22 5g,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A23,DISPLAY,110,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A23,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A23,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A23,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A23,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A24,DISPLAY,260,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A24,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A24,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A24,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A24,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A25,DISPLAY,260,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A25,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A25,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A25,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A25,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A26,DISPLAY,320,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A26,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A26,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A26,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A26,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A27,DISPLAY,,,,,,,,
SAMSUNG,SAMSUNG GALAXY A27,BATERIE,,,,,,,,
SAMSUNG,SAMSUNG GALAXY A27,CARCASA,,,,,,,,
